Village	Pits	Latitude	Longitude
Karnataka-Vijayanagar-Kudligi-null-Poojarahalli	32	14.61658349	76.54514897
Karnataka-Vijayanagar-Kotturu-null-Kandagal	13	14.88346411	76.28691526
Karnataka-Vijayanagar-Harapanahalli-null-Kadathi	1	14.9733367	76.319545
Karnataka-Vijayanagar-Hagaribommanahalli-null-Dasmapura	7	14.97361024	76.31958324
Karnataka-Ballari-Ballari-null-Sindhavalam	1	15.3256107	77.0751905
Maharashtra-Jalna-Partur-null-Warphal	1	19.3548437	76.582793
Maharashtra-Jalna-Partur-null-Bramhanwadi	211	19.38012249	76.26673032
Maharashtra-Jalna-Partur-null-Ashti	152	19.3802161	76.22132793
Maharashtra-Jalna-Partur-null-Akoli	384	19.39317791	76.25786365
Maharashtra-Jalna-Jalna-null-Sawargaon Bhagde	4	19.39522558	76.2412318
Maharashtra-Jalna-Partur-null-Asangaon	124	19.40067399	76.14938438
Maharashtra-Jalna-Partur-null-Pandepokhari	259	19.41595085	76.17162139
Maharashtra-Jalna-Partur-null-Likhit Pimpri	83	19.42719563	76.27483777
Maharashtra-Jalna-Ghansawangi-null-Dahegaon Devi	160	19.45656383	76.07231725
Maharashtra-Jalna-Partur-null-Shrishti Tanda	6	19.46308952	76.23351127
Maharashtra-Jalna-Partur-null-Shrishti	277	19.46523222	76.23281394
shrishti	60	19.47653606	76.22975157
Maharashtra-Jalna-Partur-null-Satona Kh.	418	19.48222954	76.35165218
Maharashtra-Jalna-Partur-null-Satona Bk.	85	19.50137394	76.32299748
pimprula	329	19.50455703	76.25788165
Maharashtra-Jalna-Partur-null-Pimprula Bk.	171	19.50678607	76.25911859
khandviwadi	968	19.51563564	76.23755718
Maharashtra-Jalna-Partur-null-Hatdi	27	19.52134184	76.16385698
Maharashtra-Jalna-Partur-null-Sirasgaon	2	19.52155755	76.2311258
Maharashtra-Jalna-Partur-null-Khandviwadi	252	19.52486725	76.24837315
khandvi	769	19.5317573	76.26464573
Maharashtra-Jalna-Partur-null-Hastur Tanda	1	19.53179	76.1736217
Maharashtra-Jalna-Partur-null-Soijana	4	19.53345715	76.17033888
Maharashtra-Jalna-Partur-null-Warphalwadi	9	19.55700478	76.26848668
Maharashtra-Jalna-Partur-null-Eakrukha	300	19.59504082	76.2556555
Maharashtra-Jalna-Partur-null-Nagapur	199	19.59514241	76.26175033
Maharashtra-Jalna-Partur-null-Masla	64	19.61705505	76.18568204
Maharashtra-Jalna-Partur-null-Amba	69	19.61903864	76.20967405
Maharashtra-Jalna-Mantha-null-Ranmala	9	19.61907495	76.40912808
Maharashtra-Jalna-Mantha-null-Helas	246	19.63068225	76.41782539
Maharashtra-Jalna-Mantha-null-Karnawal	598	19.63147916	76.44456293
Maharashtra-Jalna-Partur-null-Kawjawala	26	19.6424144	76.15844336
Maharashtra-Jalna-Partur-null-Kandari	1	19.6509017	76.2553483
Maharashtra-Jalna-Partur-null-Khadki	395	19.65203917	76.2461254
Maharashtra-Jalna-Partur-null-Babultara	869	19.66804603	76.20043398
Maharashtra-Jalna-Mantha-null-Malkini	409	19.6748001	76.46037551
Umbarkheda	138	19.6822674	76.39275071
watur	300	19.68304599	76.27235561
Maharashtra-Jalna-Partur-null-Yenora	1	19.685422	76.2690921
Maharashtra-Jalna-Partur-null-Watur	27	19.68732243	76.26933193
Maharashtra-Jalna-Mantha-null-Akani	14	19.69208276	76.33291814
Maharashtra-Jalna-Mantha-null-Meskheda	169	19.69259591	76.37121827
Murum Kheda	185	19.6957298	76.39848803
Maharashtra-Jalna-Mantha-null-Ambhoda Kadam	5	19.69789198	76.46208078
Maharashtra-Jalna-Mantha-null-Limbona	20	19.69982044	76.34793312
Maharashtra-Jalna-Mantha-null-Wirgavhan	489	19.70141805	76.453602
Dudha	3	19.70156667	76.47363333
Maharashtra-Jalna-Mantha-null-Pakni	19	19.70465496	76.31160902
Amboda kadam	131	19.70478321	76.46831069
Maharashtra-Jalna-Mantha-null-Ramtirth	169	19.70600977	76.41717465
Arda Tolaji	1	19.7079	76.4651
Taltondi	89	19.70935281	76.3913191
Maharashtra-Jalna-Mantha-null-Kanphodi	3	19.70964667	76.29051617
Maharashtra-Jalna-Mantha-null-Sawargaon Wayal	201	19.71419582	76.34079541
Wayal Pangri	132	19.71601288	76.45119394
Maharashtra-Jalna-Mantha-null-Pangri Bk.	184	19.71763128	76.44698729
Maharashtra-Jalna-Mantha-null-Wai	44	19.71987183	76.22650035
Maltondi	179	19.72981285	76.40175923
Maharashtra-Jalna-Mantha-null-Maltondi	557	19.73012577	76.39992539
Maharashtra-Jalna-Mantha-null-Lawni	18	19.73392438	76.30693553
Pandurna	41	19.7383711	76.38518666
Maharashtra-Jalna-Mantha-null-Pangri (Gosavi)	1	19.741826	76.3012947
dhoksala	5	19.74338349	76.37863214
Dhara	4	19.744575	76.288275
Maharashtra-Jalna-Mantha-null-Dhoksal	107	19.74811114	76.36996163
Wadegaon	77	19.75261277	76.3867855
Dhoksal	87	19.7555248	76.36920135
Maharashtra-Jalna-Mantha-null-Pangra Gadadhe	69	19.75909877	76.44549879
Waghoda	26	19.75998111	76.34867554
Maharashtra-Jalna-Mantha-null-Kinkheda	162	19.77005485	76.44767249
Maharashtra-Jalna-Jalna-null-Shambhu Sawargaon	410	19.77033596	76.26541291
Maharashtra-Jalna-Mantha-null-Khorad Sawangi	625	19.77574409	76.41117365
Maharashtra-Jalna-Mantha-null-Malsawangi	25	19.77797716	76.40455851
Ganeshpur	303	19.77898383	76.3422772
Maharashtra-Jalna-Mantha-null-Pandhurna	1	19.7798633	76.4094733
kirtapur	486	19.78000531	76.48165583
Maharashtra-Jalna-Mantha-null-Pewa	1	19.7802477	76.4612389
Varud	155	19.78076516	76.32626452
Maharashtra-Jalna-Mantha-null-Vaidhywadgaon	216	19.78441287	76.32083342
Vaidya Wadgaon	37	19.78571081	76.31601351
Maharashtra-Jalna-Jalna-null-Borgaon	318	19.78611173	76.2951019
Maharashtra-Jalna-Mantha-null-Warud	16	19.78792409	76.32624064
Devgaon	41	19.78928293	76.3642439
Maharashtra-Jalna-Jalna-null-Dhagi	278	19.78971082	76.26599747
Ambhora Jahagir	103	19.79105056	76.33335287
Maharashtra-Jalna-Jalna-null-Khambewadi	231	19.797321	76.24291496
Maharashtra-Jalna-Jalna-null-Daregaon (Ner)	11	19.80361609	76.29894811
Maharashtra-Jalna-Mantha-null-Talegaon	767	19.80697814	76.4011034
Mahora	83	19.80915898	76.3438254
Maharashtra-Jalna-Mantha-null-Kehalwadgaon	22	19.80935036	76.36953839
Maharashtra-Jalna-Jalna-null-Kolwadi	271	19.8111934	76.29327356
Kehal Wadgaon	67	19.8120744	76.37668845
ambhor shelke	1126	19.81391075	76.4615956
Maharashtra-Jalna-Mantha-null-Pokhari Takle	31	19.81993728	76.31967858
Takle Pokhari	91	19.81993736	76.32107912
Maharashtra-Jalna-Mantha-null-Mahora	22	19.81998585	76.3315434
Maharashtra-Jalna-Mantha-null-Andhwadi	131	19.82052493	76.45264398
Maharashtra-Jalna-Mantha-null-Dahifal Khandare	346	19.82224736	76.42422459
Malegaon	39	19.82669456	76.38995425
Maharashtra-Jalna-Jalna-null-Warkheda	270	19.82783333	76.30257951
Maharashtra-Jalna-Jalna-null-Nagapur	6	19.82966092	76.2355841
Maharashtra-Jalna-Mantha-null-Uswad (Devthana)	324	19.83503872	76.46620716
Jaipur	219	19.83690559	76.34558493
Maharashtra-Jalna-Mantha-null-Hanwat Kheda	375	19.83893767	76.44382437
Maharashtra-Jalna-Jalna-null-Erandwadgaon	53	19.84373631	76.31072948
Maharashtra-Jalna-Jalna-null-Bibi	184	19.84975449	76.27395037
Jambharun	14	19.8502563	76.40040426
Pasta	90	19.85072723	76.24268407
Daha	85	19.85330235	76.38333647
Bibi	19	19.85356842	76.27122632
sawargaon bhagde	788	19.85410461	76.26678586
Kokarsa	21	19.85447143	76.36578095
Sondev	44	19.85454645	76.21442732
Savargaon Bhagde	120	19.85477554	76.265431
Maharashtra-Jalna-Jalna-null-Shivnagar	5	19.85553531	76.33348717
Erandeshwar	99	19.85605722	76.34739599
Maharashtra-Jalna-Jalna-null-Kharati	12	19.85636517	76.48346
Maharashtra-Jalna-Mantha-null-Daha	272	19.8578228	76.38635095
Maharashtra-Jalna-Mantha-null-Shivangiri	196	19.85792652	76.32552464
sondeo	1130	19.85793428	76.21877485
pashta	905	19.85811375	76.24266874
Maharashtra-Jalna-Jalna-null-Sondeo	88	19.85887638	76.22298111
Shivgiri	34	19.86051484	76.3206525
Maharashtra-Jalna-Mantha-null-Erandeshwar	5	19.86497234	76.34930132
Maharashtra-Jalna-Mantha-null-Kokarasa	128	19.86526988	76.36739166
Maharashtra-Jalna-Mantha-null-Tupa	27	19.86672499	76.39445087
